Site,Year,Month,Day,Hour,value,Duration
Beijing,2011,1,3,20,225,Valid
Beijing,2011,1,3,21,234,Valid
Beijing,2011,1,3,22,226,Valid
Beijing,2011,1,3,23,233,Valid
Beijing,2011,1,4,0,275,Valid
Beijing,2011,1,4,1,153,Valid
Beijing,2011,1,4,2,121,Valid
Beijing,2011,1,4,3,77,Valid
Beijing,2011,1,4,4,64,Valid
Beijing,2011,1,4,5,67,Valid
Beijing,2011,1,4,6,67,Valid
Beijing,2011,1,4,7,59,Valid
Beijing,2011,1,4,8,74,Valid
Beijing,2011,1,4,9,89,Valid
Beijing,2011,1,4,10,96,Valid
Beijing,2011,1,4,11,96,Valid
Beijing,2011,1,4,12,85,Valid
Beijing,2011,1,4,13,84,Valid
Beijing,2011,1,4,14,90,Valid
Beijing,2011,1,4,15,61,Valid
Beijing,2011,1,4,16,65,Valid
Beijing,2011,1,4,17,73,Valid
Beijing,2011,1,4,18,68,Valid
Beijing,2011,1,4,19,58,Valid
Beijing,2011,1,4,20,53,Valid
Beijing,2011,1,4,21,46,Valid
Beijing,2011,1,4,22,38,Valid
Beijing,2011,1,4,23,28,Valid
Beijing,2011,1,5,0,31,Valid
Beijing,2011,1,5,1,24,Valid
Beijing,2011,1,5,2,21,Valid
Beijing,2011,1,5,3,27,Valid
Beijing,2011,1,5,4,23,Valid
Beijing,2011,1,5,5,24,Valid
Beijing,2011,1,5,6,21,Valid
Beijing,2011,1,5,7,19,Valid
Beijing,2011,1,5,8,21,Valid
Beijing,2011,1,5,9,19,Valid
Beijing,2011,1,5,10,21,Valid
Beijing,2011,1,5,11,18,Valid
Beijing,2011,1,5,12,19,Valid
Beijing,2011,1,5,13,16,Valid
Beijing,2011,1,5,14,18,Valid
Beijing,2011,1,5,15,18,Valid
Beijing,2011,1,5,16,16,Valid
Beijing,2011,1,5,17,10,Valid
Beijing,2011,1,5,18,16,Valid
Beijing,2011,1,5,19,17,Valid
Beijing,2011,1,5,20,17,Valid
Beijing,2011,1,5,21,30,Valid
Beijing,2011,1,5,22,12,Valid
Beijing,2011,1,5,23,13,Valid
Beijing,2011,1,6,0,17,Valid
Beijing,2011,1,6,1,10,Valid
Beijing,2011,1,6,2,12,Valid
Beijing,2011,1,6,3,13,Valid
Beijing,2011,1,6,4,13,Valid
Beijing,2011,1,6,5,9,Valid
Beijing,2011,1,6,6,6,Valid
Beijing,2011,1,6,7,9,Valid
Beijing,2011,1,6,8,14,Valid
Beijing,2011,1,6,9,14,Valid
Beijing,2011,1,6,10,13,Valid
Beijing,2011,1,6,11,18,Valid
Beijing,2011,1,6,12,15,Valid
Beijing,2011,1,6,13,18,Valid
Beijing,2011,1,6,14,13,Valid
Beijing,2011,1,6,15,13,Valid
Beijing,2011,1,6,16,20,Valid
Beijing,2011,1,6,17,21,Valid
Beijing,2011,1,6,18,22,Valid
Beijing,2011,1,6,19,27,Valid
Beijing,2011,1,6,20,21,Valid
Beijing,2011,1,6,21,28,Valid
Beijing,2011,1,6,22,22,Valid
Beijing,2011,1,6,23,18,Valid
Beijing,2011,1,7,0,17,Valid
Beijing,2011,1,7,1,16,Valid
Beijing,2011,1,7,2,27,Valid
Beijing,2011,1,7,3,17,Valid
Beijing,2011,1,7,4,13,Valid
Beijing,2011,1,7,5,23,Valid
Beijing,2011,1,7,6,27,Valid
Beijing,2011,1,7,7,44,Valid
Beijing,2011,1,7,8,24,Valid
Beijing,2011,1,7,9,32,Valid
Beijing,2011,1,7,10,40,Valid
Beijing,2011,1,7,11,43,Valid
Beijing,2011,1,7,12,51,Valid
Beijing,2011,1,7,13,48,Valid
Beijing,2011,1,7,14,56,Valid
Beijing,2011,1,7,15,56,Valid
Beijing,2011,1,7,16,54,Valid
Beijing,2011,1,7,17,69,Valid
Beijing,2011,1,7,18,79,Valid
Beijing,2011,1,7,19,79,Valid
Beijing,2011,1,7,20,92,Valid
Beijing,2011,1,7,21,86,Valid
Beijing,2011,1,7,22,109,Valid
Beijing,2011,1,7,23,120,Valid
Beijing,2011,1,8,0,126,Valid
Beijing,2011,1,8,1,156,Valid
Beijing,2011,1,8,2,156,Valid
Beijing,2011,1,8,3,173,Valid
Beijing,2011,1,8,4,181,Valid
Beijing,2011,1,8,5,118,Valid
Beijing,2011,1,8,6,79,Valid
Beijing,2011,1,8,7,25,Valid
Beijing,2011,1,8,8,19,Valid
Beijing,2011,1,8,9,16,Valid
Beijing,2011,1,8,10,21,Valid
Beijing,2011,1,8,11,20,Valid
Beijing,2011,1,8,12,23,Valid
Beijing,2011,1,8,13,26,Valid
Beijing,2011,1,8,14,17,Valid
Beijing,2011,1,8,15,,Missing
Beijing,2011,1,8,16,,Missing
Beijing,2011,1,8,17,,Missing
Beijing,2011,1,8,18,,Missing
Beijing,2011,1,8,19,,Missing
Beijing,2011,1,8,20,,Missing
Beijing,2011,1,8,21,,Missing
Beijing,2011,1,8,22,,Missing
Beijing,2011,1,8,23,,Missing
Beijing,2011,1,9,0,,Missing
Beijing,2011,1,9,1,,Missing
Beijing,2011,1,9,2,,Missing
Beijing,2011,1,9,3,,Missing
Beijing,2011,1,9,4,,Missing
Beijing,2011,1,9,5,,Missing
Beijing,2011,1,9,6,,Missing
Beijing,2011,1,9,7,,Missing
Beijing,2011,1,9,8,,Missing
Beijing,2011,1,9,9,,Missing
Beijing,2011,1,9,10,,Missing
Beijing,2011,1,9,11,,Missing
Beijing,2011,1,9,12,,Missing
Beijing,2011,1,9,13,,Missing
Beijing,2011,1,9,14,,Missing
Beijing,2011,1,9,15,,Missing
Beijing,2011,1,9,16,,Missing
Beijing,2011,1,9,17,,Missing
Beijing,2011,1,9,18,,Missing
Beijing,2011,1,9,19,,Missing
Beijing,2011,1,9,20,,Missing
Beijing,2011,1,9,21,,Missing
Beijing,2011,1,9,22,,Missing
Beijing,2011,1,9,23,,Missing
Beijing,2011,1,10,0,,Missing
Beijing,2011,1,10,1,,Missing
Beijing,2011,1,10,2,,Missing
Beijing,2011,1,10,3,,Missing
Beijing,2011,1,10,4,,Missing
Beijing,2011,1,10,5,,Missing
Beijing,2011,1,10,6,,Missing
Beijing,2011,1,10,7,,Missing
Beijing,2011,1,10,8,,Missing
Beijing,2011,1,10,9,,Missing
Beijing,2011,1,10,10,,Missing
Beijing,2011,1,10,11,,Missing
Beijing,2011,1,10,12,,Missing
Beijing,2011,1,10,13,,Missing
Beijing,2011,1,10,14,,Missing
Beijing,2011,1,10,15,43,Valid
Beijing,2011,1,10,16,50,Valid
Beijing,2011,1,10,17,70,Valid
Beijing,2011,1,10,18,69,Valid
Beijing,2011,1,10,19,88,Valid
Beijing,2011,1,10,20,106,Valid
Beijing,2011,1,10,21,115,Valid
Beijing,2011,1,10,22,100,Valid
Beijing,2011,1,10,23,105,Valid
Beijing,2011,1,11,0,76,Valid
Beijing,2011,1,11,1,33,Valid
Beijing,2011,1,11,2,29,Valid
Beijing,2011,1,11,3,26,Valid
Beijing,2011,1,11,4,19,Valid
Beijing,2011,1,11,5,18,Valid
Beijing,2011,1,11,6,13,Valid
Beijing,2011,1,11,7,14,Valid
Beijing,2011,1,11,8,15,Valid
Beijing,2011,1,11,9,18,Valid
Beijing,2011,1,11,10,21,Valid
Beijing,2011,1,11,11,21,Valid
Beijing,2011,1,11,12,16,Valid
Beijing,2011,1,11,13,8,Valid
Beijing,2011,1,11,14,18,Valid
Beijing,2011,1,11,15,12,Valid
Beijing,2011,1,11,16,13,Valid
Beijing,2011,1,11,17,19,Valid
Beijing,2011,1,11,18,21,Valid
Beijing,2011,1,11,19,20,Valid
Beijing,2011,1,11,20,22,Valid
Beijing,2011,1,11,21,37,Valid
Beijing,2011,1,11,22,54,Valid
Beijing,2011,1,11,23,45,Valid
Beijing,2011,1,12,0,24,Valid
Beijing,2011,1,12,1,35,Valid
Beijing,2011,1,12,2,30,Valid
Beijing,2011,1,12,3,34,Valid
Beijing,2011,1,12,4,37,Valid
Beijing,2011,1,12,5,49,Valid
Beijing,2011,1,12,6,62,Valid
Beijing,2011,1,12,7,59,Valid
Beijing,2011,1,12,8,74,Valid
Beijing,2011,1,12,9,61,Valid
Beijing,2011,1,12,10,86,Valid
Beijing,2011,1,12,11,71,Valid
Beijing,2011,1,12,12,56,Valid
Beijing,2011,1,12,13,79,Valid
Beijing,2011,1,12,14,81,Valid
Beijing,2011,1,12,15,89,Valid
Beijing,2011,1,12,16,45,Valid
Beijing,2011,1,12,17,55,Valid
Beijing,2011,1,12,18,49,Valid
Beijing,2011,1,12,19,66,Valid
Beijing,2011,1,12,20,96,Valid
Beijing,2011,1,12,21,100,Valid
Beijing,2011,1,12,22,124,Valid
Beijing,2011,1,12,23,144,Valid
Beijing,2011,1,13,0,252,Valid
Beijing,2011,1,13,1,244,Valid
Beijing,2011,1,13,2,204,Valid
Beijing,2011,1,13,3,166,Valid
Beijing,2011,1,13,4,138,Valid
Beijing,2011,1,13,5,149,Valid
Beijing,2011,1,13,6,139,Valid
Beijing,2011,1,13,7,168,Valid
Beijing,2011,1,13,8,165,Valid
Beijing,2011,1,13,9,123,Valid
Beijing,2011,1,13,10,125,Valid
Beijing,2011,1,13,11,111,Valid
Beijing,2011,1,13,12,79,Valid
Beijing,2011,1,13,13,51,Valid
Beijing,2011,1,13,14,69,Valid
Beijing,2011,1,13,15,75,Valid
Beijing,2011,1,13,16,60,Valid
Beijing,2011,1,13,17,62,Valid
Beijing,2011,1,13,18,74,Valid
Beijing,2011,1,13,19,95,Valid
Beijing,2011,1,13,20,120,Valid
Beijing,2011,1,13,21,125,Valid
Beijing,2011,1,13,22,95,Valid
Beijing,2011,1,13,23,27,Valid
Beijing,2011,1,14,0,25,Valid
Beijing,2011,1,14,1,25,Valid
Beijing,2011,1,14,2,18,Valid
Beijing,2011,1,14,3,12,Valid
Beijing,2011,1,14,4,17,Valid
Beijing,2011,1,14,5,14,Valid
Beijing,2011,1,14,6,15,Valid
Beijing,2011,1,14,7,16,Valid
Beijing,2011,1,14,8,19,Valid
Beijing,2011,1,14,9,20,Valid
Beijing,2011,1,14,10,21,Valid
Beijing,2011,1,14,11,20,Valid
Beijing,2011,1,14,12,14,Valid
Beijing,2011,1,14,13,18,Valid
Beijing,2011,1,14,14,20,Valid
Beijing,2011,1,14,15,13,Valid
Beijing,2011,1,14,16,16,Valid
Beijing,2011,1,14,17,21,Valid
Beijing,2011,1,14,18,20,Valid
Beijing,2011,1,14,19,13,Valid
Beijing,2011,1,14,20,13,Valid
Beijing,2011,1,14,21,13,Valid
Beijing,2011,1,14,22,12,Valid
Beijing,2011,1,14,23,11,Valid
Beijing,2011,1,15,0,12,Valid
Beijing,2011,1,15,1,15,Valid
Beijing,2011,1,15,2,12,Valid
Beijing,2011,1,15,3,12,Valid
Beijing,2011,1,15,4,9,Valid
Beijing,2011,1,15,5,10,Valid
Beijing,2011,1,15,6,11,Valid
Beijing,2011,1,15,7,11,Valid
Beijing,2011,1,15,8,18,Valid
Beijing,2011,1,15,9,22,Valid
Beijing,2011,1,15,10,10,Valid
Beijing,2011,1,15,11,12,Valid
Beijing,2011,1,15,12,17,Valid
Beijing,2011,1,15,13,17,Valid
Beijing,2011,1,15,14,17,Valid
Beijing,2011,1,15,15,14,Valid
Beijing,2011,1,15,16,15,Valid
Beijing,2011,1,15,17,15,Valid
Beijing,2011,1,15,18,21,Valid
Beijing,2011,1,15,19,27,Valid
Beijing,2011,1,15,20,17,Valid
Beijing,2011,1,15,21,29,Valid
Beijing,2011,1,15,22,33,Valid
Beijing,2011,1,15,23,29,Valid
Beijing,2011,1,16,0,24,Valid
Beijing,2011,1,16,1,16,Valid
Beijing,2011,1,16,2,14,Valid
Beijing,2011,1,16,3,13,Valid
Beijing,2011,1,16,4,13,Valid
Beijing,2011,1,16,5,13,Valid
Beijing,2011,1,16,6,19,Valid
Beijing,2011,1,16,7,11,Valid
Beijing,2011,1,16,8,17,Valid
Beijing,2011,1,16,9,26,Valid
Beijing,2011,1,16,10,25,Valid
Beijing,2011,1,16,11,31,Valid
Beijing,2011,1,16,12,37,Valid
Beijing,2011,1,16,13,30,Valid
Beijing,2011,1,16,14,40,Valid
Beijing,2011,1,16,15,39,Valid
Beijing,2011,1,16,16,56,Valid
Beijing,2011,1,16,17,60,Valid
Beijing,2011,1,16,18,72,Valid
Beijing,2011,1,16,19,61,Valid
Beijing,2011,1,16,20,70,Valid
Beijing,2011,1,16,21,73,Valid
Beijing,2011,1,16,22,77,Valid
Beijing,2011,1,16,23,107,Valid
Beijing,2011,1,17,0,130,Valid
Beijing,2011,1,17,1,128,Valid
Beijing,2011,1,17,2,50,Valid
Beijing,2011,1,17,3,41,Valid
Beijing,2011,1,17,4,40,Valid
Beijing,2011,1,17,5,34,Valid
Beijing,2011,1,17,6,37,Valid
Beijing,2011,1,17,7,30,Valid
Beijing,2011,1,17,8,36,Valid
Beijing,2011,1,17,9,27,Valid
Beijing,2011,1,17,10,26,Valid
Beijing,2011,1,17,11,18,Valid
Beijing,2011,1,17,12,20,Valid
Beijing,2011,1,17,13,23,Valid
Beijing,2011,1,17,14,14,Valid
Beijing,2011,1,17,15,18,Valid
Beijing,2011,1,17,16,17,Valid
Beijing,2011,1,17,17,20,Valid
Beijing,2011,1,17,18,17,Valid
Beijing,2011,1,17,19,26,Valid
Beijing,2011,1,17,20,24,Valid
Beijing,2011,1,17,21,16,Valid
Beijing,2011,1,17,22,10,Valid
Beijing,2011,1,17,23,12,Valid
Beijing,2011,1,18,0,12,Valid
Beijing,2011,1,18,1,12,Valid
Beijing,2011,1,18,2,13,Valid
Beijing,2011,1,18,3,13,Valid
Beijing,2011,1,18,4,16,Valid
Beijing,2011,1,18,5,18,Valid
Beijing,2011,1,18,6,17,Valid
Beijing,2011,1,18,7,24,Valid
Beijing,2011,1,18,8,31,Valid
Beijing,2011,1,18,9,31,Valid
Beijing,2011,1,18,10,30,Valid
Beijing,2011,1,18,11,31,Valid
Beijing,2011,1,18,12,23,Valid
Beijing,2011,1,18,13,18,Valid
Beijing,2011,1,18,14,19,Valid
Beijing,2011,1,18,15,19,Valid
Beijing,2011,1,18,16,18,Valid
Beijing,2011,1,18,17,17,Valid
Beijing,2011,1,18,18,21,Valid
Beijing,2011,1,18,19,28,Valid
Beijing,2011,1,18,20,25,Valid
Beijing,2011,1,18,21,21,Valid
Beijing,2011,1,18,22,16,Valid
Beijing,2011,1,18,23,22,Valid
Beijing,2011,1,19,0,24,Valid
Beijing,2011,1,19,1,20,Valid
Beijing,2011,1,19,2,26,Valid
Beijing,2011,1,19,3,21,Valid
Beijing,2011,1,19,4,17,Valid
Beijing,2011,1,19,5,23,Valid
Beijing,2011,1,19,6,23,Valid
Beijing,2011,1,19,7,14,Valid
Beijing,2011,1,19,8,21,Valid
Beijing,2011,1,19,9,26,Valid
Beijing,2011,1,19,10,25,Valid
Beijing,2011,1,19,11,21,Valid
Beijing,2011,1,19,12,21,Valid
Beijing,2011,1,19,13,24,Valid
Beijing,2011,1,19,14,13,Valid
Beijing,2011,1,19,15,13,Valid
Beijing,2011,1,19,16,12,Valid
Beijing,2011,1,19,17,16,Valid
Beijing,2011,1,19,18,18,Valid
Beijing,2011,1,19,19,24,Valid
Beijing,2011,1,19,20,16,Valid
Beijing,2011,1,19,21,34,Valid
Beijing,2011,1,19,22,24,Valid
Beijing,2011,1,19,23,17,Valid
Beijing,2011,1,20,0,15,Valid
Beijing,2011,1,20,1,20,Valid
Beijing,2011,1,20,2,13,Valid
Beijing,2011,1,20,3,17,Valid
Beijing,2011,1,20,4,17,Valid
Beijing,2011,1,20,5,20,Valid
Beijing,2011,1,20,6,20,Valid
Beijing,2011,1,20,7,15,Valid
Beijing,2011,1,20,8,26,Valid
Beijing,2011,1,20,9,25,Valid
Beijing,2011,1,20,10,27,Valid
Beijing,2011,1,20,11,44,Valid
Beijing,2011,1,20,12,29,Valid
Beijing,2011,1,20,13,19,Valid
Beijing,2011,1,20,14,25,Valid
Beijing,2011,1,20,15,47,Valid
Beijing,2011,1,20,16,58,Valid
Beijing,2011,1,20,17,59,Valid
Beijing,2011,1,20,18,70,Valid
Beijing,2011,1,20,19,74,Valid
Beijing,2011,1,20,20,82,Valid
Beijing,2011,1,20,21,91,Valid
Beijing,2011,1,20,22,100,Valid
Beijing,2011,1,20,23,124,Valid
Beijing,2011,1,21,0,120,Valid
Beijing,2011,1,21,1,45,Valid
Beijing,2011,1,21,2,36,Valid
Beijing,2011,1,21,3,34,Valid
Beijing,2011,1,21,4,39,Valid
Beijing,2011,1,21,5,27,Valid
Beijing,2011,1,21,6,20,Valid
Beijing,2011,1,21,7,31,Valid
Beijing,2011,1,21,8,32,Valid
Beijing,2011,1,21,9,36,Valid
Beijing,2011,1,21,10,42,Valid
Beijing,2011,1,21,11,29,Valid
Beijing,2011,1,21,12,24,Valid
Beijing,2011,1,21,13,30,Valid
Beijing,2011,1,21,14,35,Valid
Beijing,2011,1,21,15,37,Valid
Beijing,2011,1,21,16,67,Valid
Beijing,2011,1,21,17,102,Valid
Beijing,2011,1,21,18,155,Valid
Beijing,2011,1,21,19,144,Valid
Beijing,2011,1,21,20,154,Valid
Beijing,2011,1,21,21,170,Valid
Beijing,2011,1,21,22,187,Valid
Beijing,2011,1,21,23,191,Valid
Beijing,2011,1,22,0,130,Valid
Beijing,2011,1,22,1,74,Valid
Beijing,2011,1,22,2,51,Valid
Beijing,2011,1,22,3,43,Valid
Beijing,2011,1,22,4,44,Valid
Beijing,2011,1,22,5,61,Valid
Beijing,2011,1,22,6,67,Valid
Beijing,2011,1,22,7,88,Valid
Beijing,2011,1,22,8,91,Valid
Beijing,2011,1,22,9,54,Valid
Beijing,2011,1,22,10,49,Valid
Beijing,2011,1,22,11,50,Valid
Beijing,2011,1,22,12,48,Valid
Beijing,2011,1,22,13,44,Valid
Beijing,2011,1,22,14,46,Valid
Beijing,2011,1,22,15,48,Valid
Beijing,2011,1,22,16,45,Valid
Beijing,2011,1,22,17,36,Valid
Beijing,2011,1,22,18,23,Valid
Beijing,2011,1,22,19,29,Valid
Beijing,2011,1,22,20,11,Valid
Beijing,2011,1,22,21,12,Valid
Beijing,2011,1,22,22,16,Valid
Beijing,2011,1,22,23,11,Valid
Beijing,2011,1,23,0,12,Valid
Beijing,2011,1,23,1,13,Valid
Beijing,2011,1,23,2,12,Valid
Beijing,2011,1,23,3,12,Valid
Beijing,2011,1,23,4,11,Valid
Beijing,2011,1,23,5,10,Valid
Beijing,2011,1,23,6,10,Valid
Beijing,2011,1,23,7,12,Valid
Beijing,2011,1,23,8,14,Valid
Beijing,2011,1,23,9,15,Valid
Beijing,2011,1,23,10,14,Valid
Beijing,2011,1,23,11,13,Valid
Beijing,2011,1,23,12,21,Valid
Beijing,2011,1,23,13,19,Valid
Beijing,2011,1,23,14,18,Valid
Beijing,2011,1,23,15,16,Valid
Beijing,2011,1,23,16,20,Valid
Beijing,2011,1,23,17,16,Valid
Beijing,2011,1,23,18,21,Valid
Beijing,2011,1,23,19,16,Valid
Beijing,2011,1,23,20,11,Valid
Beijing,2011,1,23,21,16,Valid
Beijing,2011,1,23,22,15,Valid
Beijing,2011,1,23,23,9,Valid
Beijing,2011,1,24,0,11,Valid
Beijing,2011,1,24,1,11,Valid
Beijing,2011,1,24,2,19,Valid
Beijing,2011,1,24,3,21,Valid
Beijing,2011,1,24,4,23,Valid
Beijing,2011,1,24,5,27,Valid
Beijing,2011,1,24,6,27,Valid
Beijing,2011,1,24,7,43,Valid
Beijing,2011,1,24,8,33,Valid
Beijing,2011,1,24,9,27,Valid
Beijing,2011,1,24,10,27,Valid
Beijing,2011,1,24,11,36,Valid
Beijing,2011,1,24,12,49,Valid
Beijing,2011,1,24,13,71,Valid
Beijing,2011,1,24,14,79,Valid
Beijing,2011,1,24,15,63,Valid
Beijing,2011,1,24,16,47,Valid
Beijing,2011,1,24,17,52,Valid
Beijing,2011,1,24,18,58,Valid
Beijing,2011,1,24,19,70,Valid
Beijing,2011,1,24,20,78,Valid
Beijing,2011,1,24,21,87,Valid
Beijing,2011,1,24,22,95,Valid
Beijing,2011,1,24,23,109,Valid
Beijing,2011,1,25,0,95,Valid
Beijing,2011,1,25,1,90,Valid
Beijing,2011,1,25,2,69,Valid
Beijing,2011,1,25,3,66,Valid
Beijing,2011,1,25,4,47,Valid
Beijing,2011,1,25,5,40,Valid
Beijing,2011,1,25,6,16,Valid
Beijing,2011,1,25,7,11,Valid
Beijing,2011,1,25,8,12,Valid
Beijing,2011,1,25,9,13,Valid
Beijing,2011,1,25,10,13,Valid
Beijing,2011,1,25,11,23,Valid
Beijing,2011,1,25,12,21,Valid
Beijing,2011,1,25,13,17,Valid
Beijing,2011,1,25,14,13,Valid
Beijing,2011,1,25,15,17,Valid
Beijing,2011,1,25,16,17,Valid
Beijing,2011,1,25,17,11,Valid
Beijing,2011,1,25,18,12,Valid
Beijing,2011,1,25,19,25,Valid
Beijing,2011,1,25,20,23,Valid
Beijing,2011,1,25,21,32,Valid
Beijing,2011,1,25,22,31,Valid
Beijing,2011,1,25,23,34,Valid
Beijing,2011,1,26,0,37,Valid
Beijing,2011,1,26,1,29,Valid
Beijing,2011,1,26,2,35,Valid
Beijing,2011,1,26,3,21,Valid
Beijing,2011,1,26,4,21,Valid
Beijing,2011,1,26,5,26,Valid
Beijing,2011,1,26,6,41,Valid
Beijing,2011,1,26,7,82,Valid
Beijing,2011,1,26,8,58,Valid
Beijing,2011,1,26,9,56,Valid
Beijing,2011,1,26,10,61,Valid
Beijing,2011,1,26,11,54,Valid
Beijing,2011,1,26,12,46,Valid
Beijing,2011,1,26,13,55,Valid
Beijing,2011,1,26,14,71,Valid
Beijing,2011,1,26,15,83,Valid
Beijing,2011,1,26,16,85,Valid
Beijing,2011,1,26,17,93,Valid
Beijing,2011,1,26,18,103,Valid
Beijing,2011,1,26,19,132,Valid
Beijing,2011,1,26,20,144,Valid
Beijing,2011,1,26,21,137,Valid
Beijing,2011,1,26,22,117,Valid
Beijing,2011,1,26,23,128,Valid
Beijing,2011,1,27,0,161,Valid
Beijing,2011,1,27,1,89,Valid
Beijing,2011,1,27,2,40,Valid
Beijing,2011,1,27,3,24,Valid
Beijing,2011,1,27,4,20,Valid
Beijing,2011,1,27,5,16,Valid
Beijing,2011,1,27,6,19,Valid
Beijing,2011,1,27,7,18,Valid
Beijing,2011,1,27,8,19,Valid
Beijing,2011,1,27,9,23,Valid
Beijing,2011,1,27,10,8,Valid
Beijing,2011,1,27,11,11,Valid
Beijing,2011,1,27,12,17,Valid
Beijing,2011,1,27,13,13,Valid
Beijing,2011,1,27,14,14,Valid
Beijing,2011,1,27,15,13,Valid
Beijing,2011,1,27,16,12,Valid
Beijing,2011,1,27,17,12,Valid
Beijing,2011,1,27,18,11,Valid
Beijing,2011,1,27,19,26,Valid
Beijing,2011,1,27,20,19,Valid
Beijing,2011,1,27,21,20,Valid
Beijing,2011,1,27,22,32,Valid
Beijing,2011,1,27,23,32,Valid
Beijing,2011,1,28,0,18,Valid
Beijing,2011,1,28,1,13,Valid
Beijing,2011,1,28,2,23,Valid
Beijing,2011,1,28,3,23,Valid
Beijing,2011,1,28,4,20,Valid
Beijing,2011,1,28,5,23,Valid
Beijing,2011,1,28,6,31,Valid
Beijing,2011,1,28,7,27,Valid
Beijing,2011,1,28,8,19,Valid
Beijing,2011,1,28,9,21,Valid
Beijing,2011,1,28,10,21,Valid
Beijing,2011,1,28,11,18,Valid
Beijing,2011,1,28,12,16,Valid
Beijing,2011,1,28,13,14,Valid
Beijing,2011,1,28,14,14,Valid
Beijing,2011,1,28,15,12,Valid
Beijing,2011,1,28,16,12,Valid
Beijing,2011,1,28,17,13,Valid
Beijing,2011,1,28,18,12,Valid
Beijing,2011,1,28,19,16,Valid
Beijing,2011,1,28,20,14,Valid
Beijing,2011,1,28,21,10,Valid
Beijing,2011,1,28,22,15,Valid
Beijing,2011,1,28,23,3,Valid
Beijing,2011,1,29,0,6,Valid
Beijing,2011,1,29,1,10,Valid
Beijing,2011,1,29,2,7,Valid
Beijing,2011,1,29,3,4,Valid
Beijing,2011,1,29,4,2,Valid
Beijing,2011,1,29,5,7,Valid
Beijing,2011,1,29,6,11,Valid
Beijing,2011,1,29,7,8,Valid
Beijing,2011,1,29,8,9,Valid
Beijing,2011,1,29,9,16,Valid
Beijing,2011,1,29,10,27,Valid
Beijing,2011,1,29,11,19,Valid
Beijing,2011,1,29,12,11,Valid
Beijing,2011,1,29,13,42,Valid
Beijing,2011,1,29,14,15,Valid
Beijing,2011,1,29,15,13,Valid
Beijing,2011,1,29,16,11,Valid
Beijing,2011,1,29,17,9,Valid
Beijing,2011,1,29,18,12,Valid
Beijing,2011,1,29,19,16,Valid
Beijing,2011,1,29,20,9,Valid
Beijing,2011,1,29,21,10,Valid
Beijing,2011,1,29,22,9,Valid
Beijing,2011,1,29,23,21,Valid
Beijing,2011,1,30,0,22,Valid
Beijing,2011,1,30,1,10,Valid
Beijing,2011,1,30,2,19,Valid
Beijing,2011,1,30,3,7,Valid
Beijing,2011,1,30,4,8,Valid
